# lambda: Angstroms, f_lambda: erg/s/cm^2/Angstrom,                          Teff=8878.4K,rad=2.271Rsol.
lambda	 f_lambda
2.764952929584369485e+03	2.655745728647546680e-11
2.767692827769752512e+03	2.955448320914569713e-11
2.770435441025614637e+03	6.570575498781504682e-12
2.773180772042417175e+03	1.157520763313628800e-11
2.775928823513299903e+03	2.839350528055173895e-11
2.778679598134060143e+03	3.070241221388074771e-11
2.781433098603176859e+03	3.047863894517253403e-11
2.784189327621795655e+03	2.912464515809738080e-11
2.786948287893738325e+03	2.876788287164293721e-11
2.789709982125513761e+03	2.869788458653718511e-11
2.792474413026303409e+03	2.206892528028395407e-11
2.795241583307982637e+03	7.024553611936279701e-12
2.798011495685103455e+03	1.285469486743745562e-11
2.800784152874920437e+03	1.336879191330078022e-11
2.803559557597367075e+03	4.758256884628739149e-13
2.806337712575085789e+03	2.024009636657172192e-11
2.809118620533404282e+03	1.811797250204576348e-11
2.811902284200362374e+03	2.802461605009049664e-11
2.814688706306695167e+03	3.060925734512454341e-11
2.817477889585843059e+03	3.097189767043267863e-11
2.820269836773964471e+03	3.030842080314301761e-11
2.823064550609917660e+03	3.025050512032447036e-11
2.825862033835285274e+03	3.067826419268850269e-11
2.828662289194356617e+03	3.054473589864026595e-11
2.831465319434150842e+03	3.095472479922872591e-11
2.834271127304399215e+03	3.064719360095899400e-11
2.837079715557566942e+03	3.090569504415847095e-11
2.839891086948837710e+03	3.062011499015226146e-11
2.842705244236135513e+03	2.943170659553793419e-11
2.845522190180106008e+03	3.057580879438492035e-11
2.848341927544141981e+03	3.115651333467389179e-11
2.851164459094363337e+03	2.980918235444815704e-11
2.853989787599642568e+03	1.763551804885796331e-11
2.856817915831586561e+03	1.571644241398498085e-11
2.859648846564549785e+03	2.326896403106472320e-11
2.862482582575643846e+03	7.797690879778938011e-12
2.865319126644721109e+03	1.561604326221423498e-11
2.868158481554399714e+03	2.198421193369448773e-11
2.871000650090044019e+03	7.519110014804289174e-12
2.873845635039790068e+03	2.758901382830229603e-11
2.876693439194525126e+03	3.099854264776019526e-11
2.879544065347913147e+03	1.967257932558395739e-11
2.882397516296376125e+03	2.867479310169884542e-11
2.885253794839117290e+03	2.260125897419423761e-11
2.888112903778103373e+03	2.777104683091778003e-11
2.890974845918087794e+03	1.631013151907710950e-11
2.893839624066593387e+03	3.064128812283878700e-11
2.896707241033935134e+03	3.039105136445982697e-11
2.899577699633205611e+03	1.340328964982709596e-11
2.902451002680284091e+03	3.084891513699877359e-11
2.905327152993848358e+03	2.506543375588860134e-11
2.908206153395359252e+03	3.086290255543875852e-11
2.911088006709084311e+03	2.857718534586728153e-11
2.913972715762077769e+03	2.578326037659119455e-11
2.916860283384207833e+03	2.933542003846337324e-11
2.919750712408133950e+03	3.084273609748092451e-11
2.922644005669335911e+03	3.066468086362889257e-11
2.925540166006089748e+03	3.008986451573674821e-11
2.928439196259497749e+03	2.958830956087512417e-11
2.931341099273467080e+03	2.698141338577544209e-11
2.934245877894724345e+03	2.362093912264725279e-11
2.937153534972824673e+03	2.733156320736514685e-11
2.940064073360135808e+03	2.549227101035692787e-11
2.942977495911864025e+03	1.980999994382765155e-11
2.945893805486032306e+03	2.917795849950218323e-11
2.948813004943508986e+03	1.938891357852141861e-11
2.951735097147984106e+03	1.718355463453075408e-11
2.954660084965998067e+03	2.579231523614653035e-11
2.957587971266919340e+03	2.770407441549638708e-11
2.960518758922972211e+03	3.028650988088795752e-11
2.963452450809215406e+03	3.028132201006475080e-11
2.966389049803568014e+03	2.872884528696629242e-11
2.969328558786789472e+03	2.917490228695040242e-11
2.972270980642505492e+03	2.185616916918567203e-11
2.975216318257190323e+03	1.652249331219541427e-11
2.978164574520178576e+03	2.894368272059119971e-11
2.981115752323677498e+03	2.325776354203833377e-11
2.984069854562747878e+03	3.030079314503170321e-11
2.987026884135330874e+03	2.938834875703531304e-11
2.989986843942228461e+03	2.751588581081508500e-11
2.992949736887127983e+03	3.012409356669350114e-11
2.995915565876583059e+03	2.863894841082102607e-11
2.998884333820039046e+03	3.020265182420458647e-11
3.001856043629812575e+03	2.969025872399707221e-11
3.004830698221117927e+03	3.008226725034570620e-11
3.007808300512049300e+03	1.986423390543566017e-11
3.010788853423593082e+03	2.685437242513797376e-11
3.013772359879637861e+03	2.051091647500672609e-11
3.016758822806959415e+03	2.955326049021939939e-11
3.019748245135243906e+03	2.005380105488190026e-11
3.022740629797070142e+03	1.677792606398828566e-11
3.025735979727934591e+03	3.007533290963130180e-11
3.028734297866230008e+03	3.000908245739574451e-11
3.031735587153272718e+03	2.987185504985532001e-11
3.034739850533283516e+03	2.903230212024668962e-11
3.037747090953410407e+03	2.484210305405896465e-11
3.040757311363711324e+03	2.988504751507094030e-11
3.043770514717179140e+03	2.252718840570714328e-11
3.046786703969721202e+03	2.980130117317265031e-11
3.049805882080185256e+03	2.999280356605728420e-11
3.052828052010342617e+03	2.941741859266195444e-11
3.055853216724899994e+03	2.934855161840351968e-11
3.058881379191509950e+03	2.372728259122876756e-11
3.061912542380754076e+03	2.736148490427026241e-11
3.064946709266170274e+03	2.754984178860163564e-11
3.067983882824230477e+03	1.049003710520948287e-11
3.071024066034367934e+03	2.335448567921995975e-11
3.074067261878957197e+03	2.947003404495734675e-11
3.077113473343339138e+03	2.909980790448090258e-11
3.080162703415801843e+03	2.947842352329247135e-11
3.083214955087605176e+03	2.974583956909185658e-11
3.086270231352963037e+03	2.680870709821418079e-11
3.089328535209067468e+03	2.234843525994706550e-11
3.092389869656071369e+03	1.209486782042675437e-11
3.095454237697100325e+03	1.727551033102775837e-11
3.098521642338265792e+03	1.849907929320674607e-11
3.101592086588645543e+03	2.692697998356980766e-11
3.104665573460311862e+03	2.953917719960712693e-11
3.107742105968307897e+03	2.453664152230800453e-11
3.110821687130678583e+03	2.875469819825506454e-11
3.113904319968446998e+03	2.940279777216537504e-11
